split,path,label
train,train\00_麻婆豆腐\00_000066.jpg,0
train,train\00_麻婆豆腐\00_000701.jpg,0
train,train\00_麻婆豆腐\00_000721.jpg,0
train,train\00_麻婆豆腐\00_000732.jpg,0
train,train\00_麻婆豆腐\00_000402.jpg,0
train,train\00_麻婆豆腐\00_000148.jpg,0
train,train\00_麻婆豆腐\00_000818.jpg,0
train,train\00_麻婆豆腐\00_000157.jpg,0
train,train\00_麻婆豆腐\00_000738.jpg,0
train,train\00_麻婆豆腐\00_000011.jpg,0
train,train\00_麻婆豆腐\00_000737.jpg,0
train,train\00_麻婆豆腐\00_000337.jpg,0
train,train\00_麻婆豆腐\00_000385.jpg,0
train,train\00_麻婆豆腐\00_000806.jpg,0
train,train\00_麻婆豆腐\00_000668.jpg,0
train,train\00_麻婆豆腐\00_000917.jpg,0
train,train\00_麻婆豆腐\00_000116.jpg,0
train,train\00_麻婆豆腐\00_000067.jpg,0
train,train\00_麻婆豆腐\00_000763.jpg,0
train,train\00_麻婆豆腐\00_000032.jpg,0
train,train\00_麻婆豆腐\00_000693.jpg,0
train,train\00_麻婆豆腐\00_000678.jpg,0
train,train\00_麻婆豆腐\00_000107.jpg,0
train,train\00_麻婆豆腐\00_000013.jpg,0
train,train\00_麻婆豆腐\00_000489.jpg,0
train,train\00_麻婆豆腐\00_000495.jpg,0
train,train\00_麻婆豆腐\00_000239.jpg,0
train,train\00_麻婆豆腐\00_000000.jpg,0
train,train\00_麻婆豆腐\00_000671.jpg,0
train,train\00_麻婆豆腐\00_000069.jpg,0
train,train\00_麻婆豆腐\00_000376.jpg,0
train,train\00_麻婆豆腐\00_000898.jpg,0
train,train\00_麻婆豆腐\00_000681.jpg,0
train,train\00_麻婆豆腐\00_000705.jpg,0
train,train\00_麻婆豆腐\00_000442.jpg,0
train,train\00_麻婆豆腐\00_000840.jpg,0
train,train\00_麻婆豆腐\00_000106.jpg,0
train,train\00_麻婆豆腐\00_000639.jpg,0
train,train\00_麻婆豆腐\00_000581.jpg,0
train,train\00_麻婆豆腐\00_000261.jpg,0
train,train\00_麻婆豆腐\00_000200.jpg,0
train,train\00_麻婆豆腐\00_000886.jpg,0
train,train\00_麻婆豆腐\00_000121.jpg,0
train,train\00_麻婆豆腐\00_000084.jpg,0
train,train\00_麻婆豆腐\00_000757.jpg,0
train,train\00_麻婆豆腐\00_000651.jpg,0
train,train\00_麻婆豆腐\00_000487.jpg,0
train,train\00_麻婆豆腐\00_000034.jpg,0
train,train\00_麻婆豆腐\00_000445.jpg,0
train,train\00_麻婆豆腐\00_000659.jpg,0
train,train\00_麻婆豆腐\00_000087.jpg,0
train,train\00_麻婆豆腐\00_000627.jpg,0
train,train\00_麻婆豆腐\00_000056.jpg,0
train,train\00_麻婆豆腐\00_000012.jpg,0
train,train\00_麻婆豆腐\00_000332.jpg,0
train,train\00_麻婆豆腐\00_000923.jpg,0
train,train\00_麻婆豆腐\00_000755.jpg,0
train,train\00_麻婆豆腐\00_000004.jpg,0
train,train\00_麻婆豆腐\00_000616.jpg,0
train,train\00_麻婆豆腐\00_000063.jpg,0
train,train\00_麻婆豆腐\00_000212.jpg,0
train,train\00_麻婆豆腐\00_000276.jpg,0
train,train\00_麻婆豆腐\00_000057.jpg,0
train,train\00_麻婆豆腐\00_000887.jpg,0
train,train\00_麻婆豆腐\00_000482.jpg,0
train,train\00_麻婆豆腐\00_000167.jpg,0
train,train\00_麻婆豆腐\00_000595.jpg,0
train,train\00_麻婆豆腐\00_000587.jpg,0
train,train\00_麻婆豆腐\00_000615.jpg,0
train,train\00_麻婆豆腐\00_000277.jpg,0
train,train\01_宫保鸡丁\01_000091.jpg,1
train,train\01_宫保鸡丁\01_000002.jpg,1
train,train\01_宫保鸡丁\01_000822.jpg,1
train,train\01_宫保鸡丁\01_000656.jpg,1
train,train\01_宫保鸡丁\01_000046.jpg,1
train,train\01_宫保鸡丁\01_000488.jpg,1
train,train\01_宫保鸡丁\01_000533.jpg,1
train,train\01_宫保鸡丁\01_000111.jpg,1
train,train\01_宫保鸡丁\01_000625.jpg,1
train,train\01_宫保鸡丁\01_000503.jpg,1
train,train\01_宫保鸡丁\01_000236.jpg,1
train,train\01_宫保鸡丁\01_000135.jpg,1
train,train\01_宫保鸡丁\01_000138.jpg,1
train,train\01_宫保鸡丁\01_000060.jpg,1
train,train\01_宫保鸡丁\01_000542.jpg,1
train,train\01_宫保鸡丁\01_000304.jpg,1
train,train\01_宫保鸡丁\01_000200.jpg,1
train,train\01_宫保鸡丁\01_000363.jpg,1
train,train\01_宫保鸡丁\01_000778.jpg,1
train,train\01_宫保鸡丁\01_000003.jpg,1
train,train\01_宫保鸡丁\01_000084.jpg,1
train,train\01_宫保鸡丁\01_000079.jpg,1
train,train\01_宫保鸡丁\01_000211.jpg,1
train,train\01_宫保鸡丁\01_000001.jpg,1
train,train\01_宫保鸡丁\01_000746.jpg,1
train,train\01_宫保鸡丁\01_000890.jpg,1
train,train\01_宫保鸡丁\01_000193.jpg,1
train,train\01_宫保鸡丁\01_000085.jpg,1
train,train\01_宫保鸡丁\01_000306.jpg,1
train,train\01_宫保鸡丁\01_000282.jpg,1
train,train\01_宫保鸡丁\01_000108.jpg,1
train,train\01_宫保鸡丁\01_000544.jpg,1
train,train\01_宫保鸡丁\01_000313.jpg,1
train,train\01_宫保鸡丁\01_000045.jpg,1
train,train\01_宫保鸡丁\01_000563.jpg,1
train,train\01_宫保鸡丁\01_000369.jpg,1
train,train\01_宫保鸡丁\01_000515.jpg,1
train,train\01_宫保鸡丁\01_000631.jpg,1
train,train\01_宫保鸡丁\01_000804.jpg,1
train,train\01_宫保鸡丁\01_000837.jpg,1
train,train\01_宫保鸡丁\01_000468.jpg,1
train,train\01_宫保鸡丁\01_000527.jpg,1
train,train\01_宫保鸡丁\01_000201.jpg,1
train,train\01_宫保鸡丁\01_000510.jpg,1
train,train\01_宫保鸡丁\01_000208.jpg,1
